Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Latitude,Longitude,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2006,Natural,Hydrological,Flood,Flash flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Adrar,14.42,-1.02,,,,,,,,,Km2,14.42,-1.02,,,2006,8,3,2006,10,11,,,,9000,9000,,,,78.85225551
1984,Natural,Hydrological,Flood,,,,Affect,Mauritania,MRT,Western Africa,Africa,Adrar ,20.75,-10.25,,,,Yes,,,,,Km2,,,,,1984,9,21,1984,9,21,,,3000,,3000,,,,40.63380386
1998,Natural,Biological,Epidemic,Viral disease,,Rift Valley fever,Affect,Mauritania,MRT,Western Africa,Africa,Aioun,16.6614,-9.6149,,,,,No,No,,,Vaccinated,,,,,1998,9,15,1998,10,25,6,,344,,344,,,,63.76045524
2012,Technological,Technological,Transport accident,Road,,,Kill,Mauritania,MRT,Western Africa,Africa,Akjoujt,19.749997,-14.3833318,,,,,No,No,,,,,,,,2012,11,1,2012,11,1,10,25,,,25,,,,89.80529293
2001,Natural,Hydrological,Flood,Riverine flood,,,Affect,Mauritania,MRT,Western Africa,Africa,Akjoujt ,19.749997,-14.3833318,,,,,,,,,Km2,,,,,2001,8,24,2001,8,24,,,,3000,3000,,,,69.25933995
2010,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Aleg,16.245,-7.65,Torrential rains,,,,Yes,,,11046,Km2,16.245,-7.65,,,2010,9,19,2010,9,21,,,8750,,8750,,,,85.2920606
2018,Technological,Technological,Transport accident,Road,,,Kill,Mauritania,MRT,Western Africa,Africa,Aleg,16.245,-7.65,,,,,,,,,,,,,,2018,11,7,2018,11,7,11,44,,,44,,,,98.21999062
2001,Natural,Climatological,Drought,Drought,,,Affected,Mauritania,MRT,Western Africa,Africa,Assaba,16.58333,-11.58333,,Food shortage,,,Yes,,417,,Km2,,,,,2001,4,,2003,,,,,1000000,,1000000,,,,69.25933995
2003,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Assaba,16.58333,-11.58333,Heavy rains,,,Yes,,,,,Km2,,,,Senegal river,2003,8,7,2003,8,20,9,,,21000,21000,,,,71.95500655
2010,Natural,Climatological,Drought,Drought,,,Affected,Mauritania,MRT,Western Africa,Africa,Assaba,16.58333,-11.58333,Seasonal rain above the average in 2010 and 2011,Food shortage,,,Yes,,,,Km2,,,,,2010,,,2011,,,,,838000,,838000,,,,85.2920606
2011,Natural,Climatological,Drought,Drought,,,Affected,Mauritania,MRT,Western Africa,Africa,Assaba,16.58333,-11.58333,Lack of rains,Food shortage,,Yes,,Yes,,,Km2,,,,,2011,,,2012,,,,,723000,,723000,,,,87.98460292
